Participant_ID,Trial_No,Phase,Visualization,ModelSlot,ModelType,Scenario_ID,Difficulty,Rec_Correct,Correct_Answer,System_Recommendation
P001,19.0,ניסוי,מפת חום,M1,OPT,SCN_004_H,E,לא,ב',ב'
P001,31.0,ניסוי,עמודות נערמות,M2,SUB,SCN_029_S,H,לא,ג,ג'
P002,13.0,ניסוי,עמודות נערמות,M1,SUB,SCN_021_S,E,לא,ג,ג'
P002,17.0,ניסוי,רדאר,M1,SUB,SCN_019_R,E,לא,א',א'
P002,22.0,ניסוי,רדאר,M2,OPT,SCN_016_R,H,לא,ג,ג'
P002,33.0,ניסוי,עמודות נערמות,M2,OPT,SCN_028_S,H,לא,א',א'
P003,11.0,ניסוי,מפת חום,M1,OPT,SCN_007_H,E,לא,א',א'
P003,15.0,ניסוי,עמודות נערמות,M1,OPT,SCN_030_S,E,לא,ב',ב'
P003,21.0,ניסוי,רדאר,M1,OPT,SCN_017_R,E,לא,א',א'
P003,27.0,ניסוי,רדאר,M2,SUB,SCN_020_R,H,לא,ב',ב'
P003,32.0,ניסוי,מפת חום,M2,SUB,SCN_011_H,E,לא,א',א'
P003,33.0,ניסוי,מפת חום,M2,SUB,SCN_013_H,H,לא,א',א'
P004,10.0,ניסוי,רדאר,M1,SUB,SCN_018_R,H,לא,ב',ב'
P004,16.0,ניסוי,עמודות נערמות,M1,SUB,SCN_022_S,H,לא,ב',ב'
P005,14.0,ניסוי,מפת חום,M1,OPT,SCN_009_H,E,לא,ב',ב'
P005,32.0,ניסוי,רדאר,M2,SUB,SCN_019_R,E,לא,א',א'
P006,16.0,ניסוי,מפת חום,M1,SUB,SCN_010_H,H,לא,ב',ב'
P006,17.0,ניסוי,מפת חום,M1,SUB,SCN_011_H,E,לא,א',א'
P008,9.0,ניסוי,מפת חום,M1,SUB,SCN_005_H,E,לא,א',א'
P008,10.0,ניסוי,מפת חום,M1,SUB,SCN_013_H,H,לא,א',א'
P008,14.0,ניסוי,עמודות נערמות,M1,SUB,SCN_022_S,H,לא,ב',ב'
P008,16.0,ניסוי,רדאר,M1,SUB,SCN_018_R,H,לא,ב',ב'
P009,32.0,ניסוי,מפת חום,M2,SUB,SCN_005_H,E,לא,א',א'
P010,8.0,ניסוי,רדאר,M1,SUB,SCN_020_R,H,לא,ב',ב'
P010,9.0,ניסוי,רדאר,M1,SUB,SCN_019_R,E,לא,א',א'
P010,11.0,ניסוי,מפת חום,M1,SUB,SCN_011_H,E,לא,א',א'
P010,18.0,ניסוי,עמודות נערמות,M1,SUB,SCN_029_S,H,לא,ג,ג'
P011,16.0,ניסוי,מפת חום,M1,OPT,SCN_014_H,E,לא,ב',ב'
P011,19.0,ניסוי,עמודות נערמות,M1,OPT,SCN_004_S,E,לא,ב',ב'
P011,24.0,ניסוי,מפת חום,M2,SUB,SCN_015_H,E,לא,ב',ב'
P012,13.0,ניסוי,רדאר,M1,SUB,SCN_023_R,E,לא,א',א'
P012,20.0,ניסוי,מפת חום,M2,OPT,SCN_016_H,H,לא,ג,ג'
P012,27.0,ניסוי,עמודות נערמות,M2,OPT,SCN_006_S,H,לא,ב',ב'
P013,27.0,ניסוי,מפת חום,M2,SUB,SCN_018_H,H,לא,ב',ב'
P014,8.0,ניסוי,מפת חום,M1,SUB,SCN_020_H,H,לא,ב',ב'
P014,11.0,ניסוי,עמודות נערמות,M1,SUB,SCN_011_S,E,לא,א',א'
P014,23.0,ניסוי,רדאר,M2,OPT,SCN_024_R,H,לא,ג,ג'
P015,25.0,ניסוי,עמודות נערמות,M2,SUB,SCN_013_S,H,לא,א',א'
P015,26.0,ניסוי,רדאר,M2,SUB,SCN_021_R,E,לא,ג,ג'
P016,10.0,ניסוי,רדאר,M1,SUB,SCN_022_R,H,לא,ב',ב'
P016,13.0,ניסוי,מפת חום,M1,SUB,SCN_015_H,E,לא,ב',ב'
P016,17.0,ניסוי,עמודות נערמות,M1,SUB,SCN_005_S,E,לא,א',א'
P017,27.0,ניסוי,עמודות נערמות,M2,SUB,SCN_010_S,H,לא,ב',ב'
P017,31.0,ניסוי,רדאר,M2,SUB,SCN_029_R,H,לא,ג,ג'
P017,32.0,ניסוי,רדאר,M2,SUB,SCN_023_R,E,לא,א',א'
P018,10.0,ניסוי,עמודות נערמות,M1,SUB,SCN_010_S,H,לא,ב',ב'
P018,14.0,ניסוי,רדאר,M1,SUB,SCN_029_R,H,לא,ג,ג'
P018,17.0,ניסוי,מפת חום,M1,SUB,SCN_019_H,E,לא,א',א'
P018,30.0,ניסוי,רדאר,M2,OPT,SCN_030_R,E,לא,ב',ב'
P019,14.0,ניסוי,רדאר,M1,OPT,SCN_024_R,H,לא,ג,ג'
P019,22.0,ניסוי,רדאר,M2,SUB,SCN_021_R,E,לא,ג,ג'
P019,27.0,ניסוי,מפת חום,M2,SUB,SCN_020_H,H,לא,ב',ב'
P019,33.0,ניסוי,עמודות נערמות,M2,SUB,SCN_013_S,H,לא,א',א'
P020,8.0,ניסוי,מפת חום,M1,SUB,SCN_018_H,H,לא,ב',ב'
P020,9.0,ניסוי,מפת חום,M1,SUB,SCN_015_H,E,לא,ב',ב'
P020,11.0,ניסוי,עמודות נערמות,M1,SUB,SCN_005_S,E,לא,א',א'
P020,15.0,ניסוי,רדאר,M1,SUB,SCN_023_R,E,לא,א',א'
P020,21.0,ניסוי,רדאר,M2,OPT,SCN_026_R,H,לא,ב',ב'
P021,27.0,ניסוי,רדאר,M2,SUB,SCN_010_R,H,לא,ב',ב'
P022,10.0,ניסוי,רדאר,M1,SUB,SCN_010_R,H,לא,ב',ב'
P022,12.0,ניסוי,מפת חום,M1,SUB,SCN_029_H,H,לא,ג,ג'
P022,27.0,ניסוי,רדאר,M2,OPT,SCN_006_R,H,לא,ב',ב'
P023,21.0,ניסוי,עמודות נערמות,M1,OPT,SCN_017_S,E,לא,א',א'
P023,25.0,ניסוי,מפת חום,M2,SUB,SCN_022_H,H,לא,ב',ב'
P023,32.0,ניסוי,רדאר,M2,SUB,SCN_011_R,E,לא,א',א'
P024,10.0,ניסוי,עמודות נערמות,M1,SUB,SCN_018_S,H,לא,ב',ב'
P024,11.0,ניסוי,רדאר,M1,SUB,SCN_005_R,E,לא,א',א'
P024,15.0,ניסוי,מפת חום,M1,SUB,SCN_023_H,E,לא,א',א'
P024,24.0,ניסוי,עמודות נערמות,M2,OPT,SCN_025_S,E,לא,א',א'
P025,22.0,ניסוי,רדאר,M2,SUB,SCN_005_R,E,לא,א',א'
P025,25.0,ניסוי,רדאר,M2,SUB,SCN_010_R,H,לא,ב',ב'
P025,29.0,ניסוי,מפת חום,M2,SUB,SCN_029_H,H,לא,ג,ג'
P025,32.0,ניסוי,עמודות נערמות,M2,SUB,SCN_019_S,E,לא,א',א'
P026,7.0,ניסוי,מפת חום,M1,SUB,SCN_021_H,E,לא,ג,ג'
P026,11.0,ניסוי,עמודות נערמות,M1,SUB,SCN_019_S,E,לא,א',א'
P026,15.0,ניסוי,רדאר,M1,SUB,SCN_011_R,E,לא,א',א'
P026,18.0,ניסוי,רדאר,M1,SUB,SCN_010_R,H,לא,ב',ב'
P026,21.0,ניסוי,רדאר,M2,OPT,SCN_004_R,E,לא,ב',ב'
P027,24.0,ניסוי,עמודות נערמות,M2,SUB,SCN_015_S,E,לא,ב',ב'
P027,26.0,ניסוי,רדאר,M2,SUB,SCN_011_R,E,לא,א',א'
P027,30.0,ניסוי,מפת חום,M2,SUB,SCN_021_H,E,לא,ג,ג'
P028,19.0,ניסוי,עמודות נערמות,M2,OPT,SCN_017_S,E,לא,א',א'
P028,26.0,ניסוי,רדאר,M2,OPT,SCN_007_R,E,לא,א',א'
P028,30.0,ניסוי,מפת חום,M2,OPT,SCN_030_H,E,לא,ב',ב'
P029,14.0,ניסוי,מפת חום,M1,OPT,SCN_024_H,H,לא,ג,ג'
P029,19.0,ניסוי,עמודות נערמות,M1,OPT,SCN_025_S,E,לא,א',א'
P029,23.0,ניסוי,מפת חום,M2,SUB,SCN_029_H,H,לא,ג,ג'
P029,26.0,ניסוי,עמודות נערמות,M2,SUB,SCN_019_S,E,לא,א',א'
P029,29.0,ניסוי,עמודות נערמות,M2,SUB,SCN_018_S,H,לא,ב',ב'
P030,8.0,ניסוי,עמודות נערמות,M1,SUB,SCN_020_S,H,לא,ב',ב'
P030,11.0,ניסוי,רדאר,M1,SUB,SCN_011_R,E,לא,א',א'
P030,31.0,ניסוי,רדאר,M2,OPT,SCN_009_R,E,לא,ב',ב'
