participant_id,stage,model_index,model_type,vis_index,visualization,trial_index,scenario_id,scenario_vis_type,difficulty,true_route,ai_route,ai_was_correct,user_route,followed_ai,chose_true_optimal,trial_duration_sec,questionnaire_duration_sec,q_confidence,q_mental_workload,q_sa1_answer,q_sa1_correct_answer,q_sa1_is_correct,q_sa2_answer,q_sa2_correct_answer,q_sa2_is_correct,nasa_mental_demand,nasa_time_demand,nasa_performance,nasa_effort,nasa_frustration,model_trust1,model_trust2,model_trust3,model_trust4,model_trust5,model_trust6,model_trust7,model_trust8,model_trust9,model_trust10,model_trust11,model_trust12,model_preference,vis_rank_stacked_bars,vis_rank_radar,vis_rank_heatmap,vis_help_element_option,demo_age,demo_gender,demo_native_language,demo_education,demo_field,demo_navigation_use,demo_tech_skill,demo_viz_literacy
P001,practice,,,,,0,SCN_001_S,stacked_bars,easy,Route_A,Route_A,True,Route_A,True,True,36.79,35.16,10,-8,Route_A,Route_C,False,dont_know,Route_A,False,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,practice,,,,,1,SCN_031_S,stacked_bars,easy,Route_A,Route_A,True,Route_B,False,False,41.64,21.18,7,-5,Route_B,Route_A | Route_B,True,Route_B,Route_B,True,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,practice,,,,,2,SCN_002_R,radar,easy,Route_A,Route_A,True,Route_A,True,True,39.74,26.31,8,-3,dont_know,Route_C,False,dont_know,Route_B,False,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,practice,,,,,3,SCN_032_R,radar,easy,Route_B,Route_B,True,Route_B,True,True,65.62,20.41,6,-3,Route_A,Route_A,True,dont_know,Route_C,False,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,practice,,,,,4,SCN_003_H,heatmap,easy,Route_B,Route_B,True,Route_B,True,True,15.46,17.41,8,-8,dont_know,Route_B,False,dont_know,Route_A,False,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,practice,,,,,5,SCN_033_H,heatmap,easy,Route_C,Route_C,True,Route_B,False,False,22.05,17.16,9,-8,Route_B,Route_B,True,dont_know,Route_A,False,,,,,,,,,,,,,,,,,,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,experiment,0,OPT,0,stacked_bars,0,SCN_028_S,stacked_bars,hard,Route_A,Route_A,True,Route_C,False,False,38.7,19.13,9,-8,Route_B,Route_B,True,dont_know,Route_A,False,9,1,9,4,5,3,2,5,5,4,3,5,4,3,3,2,2,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,experiment,0,OPT,0,stacked_bars,1,SCN_030_S,stacked_bars,easy,Route_C,Route_C,True,Route_A,False,False,35.66,20.99,7,-7,dont_know,Route_B | Route_C,False,dont_know,Route_B | Route_C,False,9,1,9,4,5,3,2,5,5,4,3,5,4,3,3,2,2,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,experiment,0,OPT,0,stacked_bars,2,SCN_026_S,stacked_bars,hard,Route_B,Route_B,True,Route_C,False,False,29.15,33.26,9,-8,Route_C,Route_B,False,dont_know,Route_C,False,9,1,9,4,5,3,2,5,5,4,3,5,4,3,3,2,2,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
P001,experiment,0,OPT,0,stacked_bars,3,SCN_027_S,stacked_bars,easy,Route_C,Route_B,False,Route_B,True,False,29.57,13.22,9,-9,dont_know,Route_C,False,dont_know,Route_B,False,9,1,9,4,5,3,2,5,5,4,3,5,4,3,3,2,2,model_A_M0,2,3,1,ג,24,female,Hebrew,bachelor,מדעי המחשב / הנדסה / דאטה,5,6,6
